requirement_id,centre,start_date,experiment_group,project_label,esgf_node,cat1_state,cat1_variables,cat2_state,cat2_variables,notes
5d710344c333,CMCC,s1960,dcpp-a,CMIP6,DKRZ,All,,All,,example path: https://esgf-metagrid.cloud.dkrz.de/search?project=CMIP6&resultType=originals+only&activeFacets=%7B%22institution_id%22%3A%22CMCC%22%2C%22experiment_id%22%3A%22dcppA-hindcast%22%2C%22variant_label%22%3A%22r1i1p1f1%22%2C%22table_id%22%3A%22Amon%22%2C%22frequency%22%3A%22mon%22%2C%22variable_id%22%3A%22tas%22%7D
84c09c16a4f2,CMCC,s1961,dcpp-a,CMIP6,DKRZ,All,,All,,
ad7ef8b13a04,CMCC,s1962,dcpp-a,CMIP6,DKRZ,All,,All,,
92ab098e2a96,CMCC,s1963,dcpp-a,CMIP6,DKRZ,All,,All,,
f5958cda5a97,CMCC,s1964,dcpp-a,CMIP6,DKRZ,All,,All,,
36311005b5e9,CMCC,s1965,dcpp-a,CMIP6,DKRZ,All,,All,,
39e039faaafa,CMCC,s1966,dcpp-a,CMIP6,DKRZ,All,,All,,
ef1b5e26a359,CMCC,s1967,dcpp-a,CMIP6,DKRZ,All,,All,,
020d9db6e52a,CMCC,s1968,dcpp-a,CMIP6,DKRZ,All,,All,,
c1a1c2b70df2,CMCC,s1969,dcpp-a,CMIP6,DKRZ,All,,All,,
efdcd001b338,CMCC,s1970,dcpp-a,CMIP6,DKRZ,All,,All,,
19b77e901c9f,CMCC,s1971,dcpp-a,CMIP6,DKRZ,All,,All,,
cec5df0e44a6,CMCC,s1972,dcpp-a,CMIP6,DKRZ,All,,All,,
921a5e0c1d98,CMCC,s1973,dcpp-a,CMIP6,DKRZ,All,,All,,
4cbd7339ee8c,CMCC,s1974,dcpp-a,CMIP6,DKRZ,All,,All,,
a48b6e6ca5ee,CMCC,s1975,dcpp-a,CMIP6,DKRZ,All,,All,,
75c2148c653c,CMCC,s1976,dcpp-a,CMIP6,DKRZ,All,,All,,
079fd7ba29b5,CMCC,s1977,dcpp-a,CMIP6,DKRZ,All,,All,,
ce41a5c304dd,CMCC,s1978,dcpp-a,CMIP6,DKRZ,All,,All,,
c1d36254dbc7,CMCC,s1979,dcpp-a,CMIP6,DKRZ,All,,All,,
460b631276bb,CMCC,s1980,dcpp-a,CMIP6,DKRZ,All,,All,,
e90e27c6c615,CMCC,s1981,dcpp-a,CMIP6,DKRZ,All,,All,,
cddf00504b74,CMCC,s1982,dcpp-a,CMIP6,DKRZ,All,,All,,
71a88859e309,CMCC,s1983,dcpp-a,CMIP6,DKRZ,All,,All,,
e2153a874c63,CMCC,s1984,dcpp-a,CMIP6,DKRZ,All,,All,,
477f2628af0c,CMCC,s1985,dcpp-a,CMIP6,DKRZ,All,,All,,
4bd5f1a2f6f6,CMCC,s1986,dcpp-a,CMIP6,DKRZ,All,,All,,
05f5a28b468f,CMCC,s1987,dcpp-a,CMIP6,DKRZ,All,,All,,
d4a241b193a6,CMCC,s1988,dcpp-a,CMIP6,DKRZ,All,,All,,
cd6de85d4600,CMCC,s1989,dcpp-a,CMIP6,DKRZ,All,,All,,
1f97707b4ca3,CMCC,s1990,dcpp-a,CMIP6,DKRZ,All,,All,,
c57dcac5d3bb,CMCC,s1991,dcpp-a,CMIP6,DKRZ,All,,All,,
25e4d9b7185a,CMCC,s1992,dcpp-a,CMIP6,DKRZ,All,,All,,
dfd8929fdb14,CMCC,s1993,dcpp-a,CMIP6,DKRZ,All,,All,,
5f5f125f9f1a,CMCC,s1994,dcpp-a,CMIP6,DKRZ,All,,All,,
bd87163a9721,CMCC,s1995,dcpp-a,CMIP6,DKRZ,All,,All,,
93b9428e4b04,CMCC,s1996,dcpp-a,CMIP6,DKRZ,All,,All,,
717e10ba4599,CMCC,s1997,dcpp-a,CMIP6,DKRZ,All,,All,,
6b4603360fb9,CMCC,s1998,dcpp-a,CMIP6,DKRZ,All,,All,,
1be63f177693,CMCC,s1999,dcpp-a,CMIP6,DKRZ,All,,All,,
879be60643c7,CMCC,s2000,dcpp-a,CMIP6,DKRZ,All,,All,,
5c0532714da7,CMCC,s2001,dcpp-a,CMIP6,DKRZ,All,,All,,
725fb5bb94c4,CMCC,s2002,dcpp-a,CMIP6,DKRZ,All,,All,,
efbf903885ba,CMCC,s2003,dcpp-a,CMIP6,DKRZ,All,,All,,
bc889a7a3554,CMCC,s2004,dcpp-a,CMIP6,DKRZ,All,,All,,
922dc43be845,CMCC,s2005,dcpp-a,CMIP6,DKRZ,All,,All,,
d763277217ac,CMCC,s2006,dcpp-a,CMIP6,DKRZ,All,,All,,
8f7f4e22a6f8,CMCC,s2007,dcpp-a,CMIP6,DKRZ,All,,All,,
696891ad57ad,CMCC,s2008,dcpp-a,CMIP6,DKRZ,All,,All,,
c6320001139b,CMCC,s2009,dcpp-a,CMIP6,DKRZ,All,,All,,
0e34c340338b,CMCC,s2010,dcpp-a,CMIP6,DKRZ,All,,All,,
31af3f9632bc,CMCC,s2011,dcpp-a,CMIP6,DKRZ,All,,All,,
b41837b1ffb0,CMCC,s2012,dcpp-a,CMIP6,DKRZ,All,,All,,
6e478829ba9e,CMCC,s2013,dcpp-a,CMIP6,DKRZ,All,,All,,
ca791f7da674,CMCC,s2014,dcpp-a,CMIP6,DKRZ,All,,All,,
8242a6b7e255,CMCC,s2015,dcpp-a,CMIP6,DKRZ,All,,All,,
fc2ceac5bf73,CMCC,s2016,dcpp-a,CMIP6,DKRZ,All,,All,,
5dbb5c075d3a,CMCC,s2017,dcpp-a,CMIP6,DKRZ,All,,All,,
02fac921e4ee,CMCC,s2018,dcpp-a,CMIP6,DKRZ,All,,All,,
a111e91b44d3,CMCC,s2019,dcpp-a,CMIP6,DKRZ,All,,All,,
ed36a1e915fd,CMCC,s2020,dcpp-b,CMIP6,DKRZ,All,,All,,
4230b663a954,CMCC,s2021,dcpp-b,,,,,,,
cf0aef1b92e4,CMCC,s2022,dcpp-b,,,,,,,
ae6c5836a035,CMCC,s2023,dcpp-b,,,,,,,
b25ee96a962d,CMCC,s2024,dcpp-b,,,,,,,
983ad41bd5b6,CMCC,s2025,dcpp-b,CMIP6 Plus,DKRZ,All,,All,,published
b2c7060a13c1,BSC,s1960,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,","Note 1: For 3D atmospheric variables, only 5 verticals levels have been saved."
51026499da68,BSC,s1961,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
ee01fcb373b1,BSC,s1962,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
3511d496f4be,BSC,s1963,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
2f54f1bca5b4,BSC,s1964,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
3ed624f2a2e1,BSC,s1965,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
e97404b76c32,BSC,s1966,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
9f2306dfcdb8,BSC,s1967,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
87a2a1935fce,BSC,s1968,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
4243b34e54bd,BSC,s1969,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
e707b8d7ec93,BSC,s1970,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
b6334b7a522c,BSC,s1971,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
f995673d449e,BSC,s1972,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
62b195e89599,BSC,s1973,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
7bc73c605264,BSC,s1974,dcpp-a,CMIP6,BSC,All,,Partial,"tasmax_Amon, tasmin_Amon,",
